,l1_title,l1_url,l1_pageid,l2_url,l2_id,l2_title,l2_pageid,l3_url,l3_id,l3_title,l3_pageid,l4_url,l4_id,l4_title,l4_pageid,l5_url,l5_id,l5_title,l5_pageid
91,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/100,2,项目运行环境,100,/chapter/108,2.4,组织系统,108,/chapter/110,2.4.2,组织治理框架,110,/chapter/112,2.4.2.2,项目组合、项目集和项目治理,112
92,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/100,2,项目运行环境,100,/chapter/108,2.4,组织系统,108,/chapter/113,2.4.3,管理要素,113,,,,
93,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/100,2,项目运行环境,100,/chapter/108,2.4,组织系统,108,/chapter/114,2.4.4,组织结构类型,114,/chapter/115,2.4.4.1,组织结构类型,115
94,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/100,2,项目运行环境,100,/chapter/108,2.4,组织系统,108,/chapter/114,2.4.4,组织结构类型,114,/chapter/116,2.4.4.2,组织结构选择的考虑因素,116
95,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/100,2,项目运行环境,100,/chapter/108,2.4,组织系统,108,/chapter/114,2.4.4,组织结构类型,114,/chapter/117,2.4.4.3,项目管理办公室,117
96,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/121,3.3,项目经理的影响力范围,121,/chapter/122,3.3.1,概述,122,,,,
97,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/121,3.3,项目经理的影响力范围,121,/chapter/123,3.3.2,项目,123,,,,
98,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/121,3.3,项目经理的影响力范围,121,/chapter/124,3.3.3,组织,124,,,,
99,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/121,3.3,项目经理的影响力范围,121,/chapter/125,3.3.4,行业,125,,,,
100,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/121,3.3,项目经理的影响力范围,121,/chapter/126,3.3.5,专业学科,126,,,,
101,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/121,3.3,项目经理的影响力范围,121,/chapter/127,3.3.6,跨领域,127,,,,
102,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/128,3.4,项目经理的能力,128,/chapter/129,3.4.1,概述,129,,,,
103,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/128,3.4,项目经理的能力,128,/chapter/130,3.4.2,技术项目管理技能,130,,,,
104,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/128,3.4,项目经理的能力,128,/chapter/131,3.4.3,战略和商务管理技能,131,,,,
105,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/128,3.4,项目经理的能力,128,/chapter/132,3.4.4,领导力技能,132,/chapter/133,3.4.4.1,人际交往,133
106,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/128,3.4,项目经理的能力,128,/chapter/132,3.4.4,领导力技能,132,/chapter/134,3.4.4.2,领导者的品质和技能,134
107,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/128,3.4,项目经理的能力,128,/chapter/132,3.4.4,领导力技能,132,/chapter/135,3.4.4.3,权术、权力和办好事情,135
108,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/128,3.4,项目经理的能力,128,/chapter/136,3.4.5,领导力与管理之比较,136,/chapter/137,3.4.5.1,领导力风格,137
109,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/128,3.4,项目经理的能力,128,/chapter/136,3.4.5,领导力与管理之比较,136,/chapter/138,3.4.5.2,个性,138
110,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/139,3.5,执行整合,139,/chapter/140,3.5.1,在过程层面执行整合,140,,,,
111,第一部分 项目管理知识体系指南,/chapter/70,70,/chapter/118,3,项目经理的角色,118,/chapter/139,3.5,执行整合,139,/chapter/141,3.5.2,认知层面的整合,141,,,,
